,Pre-pandemic Date,"B.C.

Number of ED visits, pre-pandemic",Post-pandemic Date,"B.C.

Number of ED visits, pandemic period",PRE_MIN_TEMPERATURE,PRE_MEAN_TEMPERATURE,PRE_MAX_TEMPERATURE,PRE_TOTAL_SNOW,PRE_TOTAL_RAIN,PRE_TOTAL_PRECIPITATION,PRE_HEATING_DEGREE_DAYS,PRE_COOLING_DEGREE_DAYS,POST_MIN_TEMPERATURE,POST_MEAN_TEMPERATURE,POST_MAX_TEMPERATURE,POST_TOTAL_SNOW,POST_TOTAL_RAIN,POST_TOTAL_PRECIPITATION,POST_HEATING_DEGREE_DAYS,POST_COOLING_DEGREE_DAYS
449,2019-01-22,"4,272",2021-01-22,"3,690",-2.0310185185185183,0.6451162790697674,3.347685185185185,2.463865546218487,13.895,13.134975369458129,17.354883720930232,0.0,-6.830875576036866,-3.324170616113744,0.2374407582938388,0.0392523364485981,0.0074766355140186,0.0320855614973262,21.324170616113744,0.0
450,2019-01-23,"4,368",2021-01-23,"3,521",-1.8014634146341464,1.1504901960784313,4.118137254901961,0.1666666666666666,0.5504347826086956,2.260846560846561,16.84950980392157,0.0,-7.449519230769231,-3.951207729468599,-0.4394230769230769,0.6981308411214954,3.607476635514019,2.680327868852459,21.9512077294686,0.0
451,2019-01-24,"4,384",2021-01-24,"3,320",-1.7269767441860466,0.9352112676056338,3.5995327102803736,0.1076923076923076,0.647008547008547,0.5406091370558376,17.064788732394366,0.0,-4.380281690140845,-2.229383886255924,0.0055813953488371,1.7464285714285714,4.823893805309734,5.618461538461538,20.229383886255924,0.0
452,2019-01-25,"4,402",2021-01-25,"3,869",-0.6599056603773585,2.1164251207729468,4.9408653846153845,0.2403669724770642,1.181651376146789,1.3921465968586386,15.883574879227051,0.0,-4.0125,-1.5929906542056076,0.8172093023255813,0.5398230088495575,1.7780701754385964,2.536923076923077,19.592990654205607,0.0
453,2019-01-26,"4,470",2021-01-26,"3,743",0.6473429951690821,3.148292682926829,5.626570048309179,0.0574074074074074,0.949074074074074,0.7512953367875648,14.85170731707317,0.0,-4.605990783410138,-1.8097674418604648,1.0222222222222224,0.6169491525423728,0.8153846153846155,1.0757731958762886,19.809767441860465,0.0
454,2019-01-27,"4,702",2021-01-27,"3,657",-0.9990291262135924,2.709756097560976,6.456190476190476,0.236697247706422,0.4651376146788991,0.3743589743589743,15.290243902439023,0.0,-4.412107623318385,-2.085,0.3154545454545455,1.737391304347826,2.041379310344828,2.539593908629442,20.085,0.0
455,2019-01-28,"4,739",2021-01-28,"3,555",-3.681651376146789,0.1263888888888888,3.973271889400922,0.0017857142857142,0.0017857142857142,0.0185929648241206,17.87361111111111,0.0,-4.475229357798165,-2.0791666666666666,0.3617511520737327,1.137391304347826,0.4104347826086957,1.5435897435897437,20.07916666666667,0.0
456,2019-01-29,"4,446",2021-01-29,"3,779",-5.615813953488373,-1.4089201877934274,2.833023255813953,0.1071428571428571,0.0336283185840707,0.1269035532994923,19.408920187793427,0.0,-4.195022624434389,-1.3846511627906977,1.4314814814814814,0.5150442477876106,4.284070796460177,3.260621761658031,19.384651162790696,0.0
457,2019-01-30,"4,371",2021-01-30,"3,527",-3.730373831775701,-0.3145539906103287,3.115813953488372,0.4035087719298245,1.3295652173913044,1.2306532663316585,18.314553990610328,0.0,-2.8207920792079206,-0.1879396984924623,2.493969849246231,0.9316326530612244,6.889690721649484,5.528888888888889,18.187939698492464,0.0
458,2019-01-31,"4,409",2021-01-31,"3,478",-0.7881278538812785,1.7555555555555555,4.356221198156682,1.7330434782608697,9.882905982905983,8.903465346534654,16.244444444444444,0.0,-0.6379146919431279,1.6071770334928228,3.870142180094787,1.4018348623853212,7.644036697247706,8.404166666666667,16.392822966507175,0.0
