"Date of visit*","Total

Number of ED visits, pre-pandemic","P.E.I.

Number of ED visits, pre-pandemic","N.S.

Number of ED visits, pre-pandemic","Que.

Number of ED visits, pre-pandemic","Ont.

Number of ED visits, pre-pandemic","Man. 

Number of ED visits, pre-pandemic","Sask.

Number of ED visits, pre-pandemic","Alta.

Number of ED visits, pre-pandemic","B.C.

Number of ED visits, pre-pandemic","Y.T.

Number of ED visits, pre-pandemic","Total

Number of ED visits, pandemic period","P.E.I.

Number of ED visits, pandemic period","N.S.

Number of ED visits, pandemic period","Que.

Number of ED visits, pandemic period","Ont.

Number of ED visits, pandemic period","Man.

Number of ED visits, pandemic period","Sask.

Number of ED visits, pandemic period","Alta.

Number of ED visits, pandemic period","B.C.

Number of ED visits, pandemic period","Y.T.

Number of ED visits, pandemic period","Total
Percentage change, pre-pandemic to pandemic period","P.E.I.
Percentage change, pre-pandemic to pandemic period","N.S.
Percentage change, pre-pandemic to pandemic period","Que.
Percentage change, pre-pandemic to pandemic period","Ont.
Percentage change, pre-pandemic to pandemic period","Man.
Percentage change, pre-pandemic to pandemic period","Sask.
Percentage change, pre-pandemic to pandemic period","Alta.
Percentage change, pre-pandemic to pandemic period","B.C.
Percentage change, pre-pandemic to pandemic period","Y.T.
Percentage change, pre-pandemic to pandemic period"
24-Apr-20,"42,766",69,818,"10,805","18,364",809,878,"6,360","4,552",111,"24,716",50,464,"5,899","10,025",617,592,"3,886","3,123",60,-41%,-28%,-43%,-45%,-45%,-24%,-33%,-39%,-31%,-46%
25-Apr-20,"42,214",63,804,"10,741","18,197",874,787,"6,180","4,457",111,"23,410",46,480,"5,496","9,374",587,593,"3,797","2,985",52,-43%,-27%,-40%,-49%,-48%,-33%,-25%,-39%,-33%,-53%
26-Apr-20,"41,856",63,761,"10,538","17,682",878,846,"6,478","4,506",104,"22,829",45,495,"5,496","8,922",599,605,"3,673","2,934",60,-45%,-29%,-35%,-48%,-50%,-32%,-28%,-43%,-35%,-42%
27-Apr-20,"38,678",63,692,"9,329","16,451",846,862,"5,873","4,469",93,"26,687",47,521,"6,483","10,901",642,698,"4,068","3,258",69,-31%,-25%,-25%,-31%,-34%,-24%,-19%,-31%,-27%,-26%
28-Apr-20,"40,237",63,753,"9,635","17,243",899,878,"6,097","4,552",117,"25,567",39,487,"6,364","10,343",622,641,"3,852","3,139",80,-37%,-38%,-35%,-34%,-40%,-31%,-27%,-37%,-31%,-32%
29-Apr-20,"44,504",61,818,"11,381","18,835",906,865,"6,694","4,835",109,"25,177",53,530,"6,143","9,982",578,610,"3,996","3,214",71,-43%,-13%,-35%,-46%,-47%,-36%,-29%,-40%,-34%,-35%
30-Apr-20,"41,460",54,785,"10,405","17,617",884,889,"6,163","4,543",120,"25,777",49,529,"6,027","10,521",707,660,"4,020","3,199",65,-36%,-9%,-33%,-42%,-40%,-20%,-26%,-35%,-30%,-46%
01-May-20,"40,877",62,716,"10,169","17,327",906,825,"6,190","4,570",112,"26,627",56,565,"6,282","10,997",697,638,"3,971","3,343",78,-34%,-10%,-21%,-38%,-37%,-23%,-23%,-36%,-27%,-30%
02-May-20,"41,605",63,758,"10,206","17,714",888,893,"6,315","4,657",111,"25,217",37,582,"5,736","10,193",625,650,"4,206","3,123",65,-38%,-41%,-23%,-44%,-42%,-30%,-27%,-33%,-33%,-41%
03-May-20,"41,520",51,767,"10,271","17,706",873,854,"6,353","4,527",118,"24,926",51,541,"5,687","10,265",665,639,"3,941","3,075",62,-38%,0%,-29%,-45%,-42%,-24%,-25%,-38%,-32%,-47%
04-May-20,"39,158",56,713,"9,417","16,582",912,917,"6,008","4,460",93,"28,505",51,628,"6,803","11,916",715,697,"4,249","3,361",85,-27%,-9%,-12%,-28%,-28%,-22%,-24%,-29%,-25%,-9%
05-May-20,"41,025",63,777,"9,666","17,518",899,901,"6,297","4,781",123,"27,057",52,611,"6,327","11,144",701,649,"4,134","3,361",78,-34%,-17%,-21%,-35%,-36%,-22%,-28%,-34%,-30%,-37%
06-May-20,"45,867",62,812,"11,778","19,512",944,944,"6,851","4,814",150,"26,787",40,606,"6,429","11,025",658,600,"4,049","3,289",91,-40%,-35%,-25%,-45%,-43%,-30%,-36%,-41%,-32%,-39%
07-May-20,"42,885",63,782,"11,097","18,097",870,861,"6,415","4,567",133,"26,621",48,609,"6,255","11,005",652,566,"4,041","3,376",69,-36%,-24%,-22%,-44%,-39%,-25%,-34%,-37%,-26%,-48%
08-May-20,"41,915",71,786,"10,514","17,732",894,910,"6,366","4,513",129,"26,900",37,627,"6,317","10,879",724,647,"4,190","3,394",85,-34%,-48%,-20%,-40%,-39%,-19%,-29%,-34%,-25%,-34%
09-May-20,"41,830",58,730,"10,352","17,639",901,905,"6,422","4,694",129,"24,925",33,565,"5,735","9,869",648,629,"4,023","3,332",91,-39%,-43%,-23%,-45%,-44%,-28%,-30%,-37%,-29%,-29%
10-May-20,"41,715",69,782,"10,372","17,491",906,826,"6,529","4,623",117,"23,547",40,542,"5,473","9,246",622,551,"3,742","3,253",78,-42%,-42%,-31%,-47%,-47%,-31%,-33%,-43%,-30%,-33%
11-May-20,"39,387",75,739,"9,276","16,635",778,853,"6,266","4,653",112,"28,963",55,683,"6,852","11,824",672,645,"4,285","3,859",88,-27%,-27%,-8%,-26%,-29%,-14%,-24%,-32%,-17%,-21%
12-May-20,"39,618",53,746,"9,422","16,458",839,865,"6,447","4,686",102,"27,440",49,630,"6,351","11,142",622,658,"4,313","3,613",62,-30%,-8%,-16%,-33%,-32%,-26%,-24%,-33%,-23%,-39%
13-May-20,"45,923",58,903,"11,776","19,160",904,939,"7,140","4,932",111,"27,512",58,623,"6,559","11,275",659,614,"4,219","3,429",76,-39%,0%,-31%,-44%,-41%,-27%,-35%,-41%,-30%,-32%
14-May-20,"42,588",76,777,"10,591","18,028",870,889,"6,693","4,553",111,"27,822",48,616,"6,578","11,335",626,642,"4,346","3,550",81,-34%,-37%,-21%,-38%,-37%,-28%,-28%,-35%,-22%,-27%
15-May-20,"41,945",74,792,"10,674","17,754",818,824,"6,466","4,421",122,"28,429",58,617,"6,614","11,643",690,698,"4,428","3,587",94,-30%,-22%,-22%,-38%,-34%,-16%,-15%,-32%,-19%,-23%
16-May-20,"41,580",52,767,"10,387","17,724",894,847,"6,236","4,554",119,"27,198",48,591,"6,207","11,052",671,719,"4,523","3,304",83,-33%,-8%,-23%,-40%,-38%,-25%,-15%,-27%,-27%,-30%
17-May-20,"41,834",59,752,"10,621","17,901",908,891,"6,202","4,386",114,"28,090",52,655,"6,224","11,370",730,697,"4,837","3,457",68,-30%,-12%,-13%,-41%,-36%,-20%,-22%,-22%,-21%,-40%
18-May-20,"39,353",65,724,"9,358","16,960",850,871,"6,063","4,356",106,"28,971",64,692,"6,941","11,268",768,790,"4,795","3,553",100,-27%,-2%,-4%,-26%,-34%,-10%,-9%,-21%,-18%,-6%
19-May-20,"41,888",65,815,"9,931","17,761",873,962,"6,606","4,760",115,"31,564",55,710,"7,251","13,135",818,733,"4,967","3,802",93,-24%,-15%,-13%,-27%,-26%,-6%,-24%,-25%,-20%,-19%
20-May-20,"44,420",69,844,"10,852","19,020",928,997,"6,884","4,718",108,"29,512",57,660,"6,966","12,256",757,653,"4,473","3,592",98,-33%,-17%,-22%,-36%,-36%,-18%,-35%,-35%,-24%,-9%
21-May-20,"46,245",60,863,"11,446","20,047",911,974,"6,926","4,884",134,"29,385",56,710,"6,978","12,403",753,685,"4,304","3,404",92,-36%,-7%,-18%,-39%,-38%,-17%,-30%,-38%,-30%,-31%
22-May-20,"43,117",57,842,"10,615","18,504",905,892,"6,679","4,486",137,"30,570",59,706,"7,179","12,931",750,749,"4,491","3,628",77,-28%,4%,-16%,-32%,-30%,-17%,-16%,-33%,-19%,-44%
