"Date of visit*","Total

Number of ED visits, pre-pandemic","P.E.I.

Number of ED visits, pre-pandemic","N.S.

Number of ED visits, pre-pandemic","Que.

Number of ED visits, pre-pandemic","Ont.

Number of ED visits, pre-pandemic","Man. 

Number of ED visits, pre-pandemic","Sask.

Number of ED visits, pre-pandemic","Alta.

Number of ED visits, pre-pandemic","B.C.

Number of ED visits, pre-pandemic","Y.T.

Number of ED visits, pre-pandemic","Total

Number of ED visits, pandemic period","P.E.I.

Number of ED visits, pandemic period","N.S.

Number of ED visits, pandemic period","Que.

Number of ED visits, pandemic period","Ont.

Number of ED visits, pandemic period","Man.

Number of ED visits, pandemic period","Sask.

Number of ED visits, pandemic period","Alta.

Number of ED visits, pandemic period","B.C.

Number of ED visits, pandemic period","Y.T.

Number of ED visits, pandemic period","Total
Percentage change, pre-pandemic to pandemic period","P.E.I.
Percentage change, pre-pandemic to pandemic period","N.S.
Percentage change, pre-pandemic to pandemic period","Que.
Percentage change, pre-pandemic to pandemic period","Ont.
Percentage change, pre-pandemic to pandemic period","Man.
Percentage change, pre-pandemic to pandemic period","Sask.
Percentage change, pre-pandemic to pandemic period","Alta.
Percentage change, pre-pandemic to pandemic period","B.C.
Percentage change, pre-pandemic to pandemic period","Y.T.
Percentage change, pre-pandemic to pandemic period"
05-Oct-20,"39,064",56,775,"9,110","16,678",874,885,"6,223","4,364",99,"37,205",54,825,"8,438","16,092",842,828,"5,624","4,413",89,-4%,-4%,6%,-7%,-4%,-4%,-6%,-10%,1%,-10%
06-Oct-20,"41,168",66,776,"9,550","17,899",899,941,"6,511","4,431",95,"35,137",44,763,"7,940","15,042",790,808,"5,435","4,212",103,-14%,-33%,-2%,-17%,-16%,-12%,-14%,-17%,-5%,8%
07-Oct-20,"45,891",67,912,"11,686","19,556",986,"1,006","6,790","4,767",121,"34,347",57,739,"7,875","14,712",760,816,"5,142","4,157",89,-23%,-15%,-19%,-33%,-25%,-23%,-19%,-24%,-13%,-26%
08-Oct-20,"42,330",77,862,"10,704","18,516",898,879,"5,917","4,363",114,"33,905",58,754,"7,689","14,658",751,794,"5,101","4,006",94,-17%,-25%,-13%,-28%,-21%,-16%,-10%,-14%,-8%,-18%
09-Oct-20,"41,608",63,830,"10,326","18,233",872,807,"6,113","4,260",104,"33,407",63,676,"7,546","14,329",771,754,"5,181","3,973",114,-17%,0%,-19%,-27%,-21%,-12%,-7%,-15%,-7%,10%
10-Oct-20,"41,219",63,821,"10,283","17,932",780,849,"6,022","4,354",115,"31,625",57,655,"7,089","13,527",643,763,"4,938","3,862",91,-21%,-10%,-20%,-31%,-25%,-18%,-10%,-18%,-11%,-21%
11-Oct-20,"41,594",60,827,"10,390","18,018",744,813,"6,181","4,442",119,"30,099",54,651,"6,875","12,784",721,767,"4,606","3,571",70,-26%,-10%,-21%,-34%,-29%,-3%,-6%,-25%,-20%,-41%
12-Oct-20,"39,079",55,758,"9,336","16,749",818,852,"6,084","4,331",96,"31,994",46,654,"7,547","13,517",688,793,"4,893","3,772",84,-18%,-16%,-14%,-19%,-19%,-16%,-7%,-20%,-13%,-13%
13-Oct-20,"39,883",61,727,"9,756","16,837",913,871,"6,092","4,528",98,"35,928",60,768,"7,972","15,984",814,775,"5,374","4,069",112,-7%,-2%,6%,-18%,-5%,-11%,-11%,-12%,-10%,14%
14-Oct-20,"41,607",78,867,"10,421","17,768",860,921,"6,175","4,440",77,"34,176",70,728,"7,979","15,009",736,757,"4,932","3,879",86,-16%,-10%,-16%,-23%,-16%,-14%,-18%,-20%,-13%,12%
15-Oct-20,"44,992",64,895,"11,214","19,409",901,938,"6,752","4,681",138,"33,097",69,750,"7,904","14,023",687,703,"4,926","3,948",87,-25%,8%,-16%,-30%,-28%,-24%,-25%,-27%,-16%,-37%
16-Oct-20,"41,993",78,850,"10,566","17,701",853,915,"6,450","4,474",106,"33,016",55,761,"7,698","14,178",712,665,"4,857","3,995",95,-19%,-29%,-10%,-27%,-20%,-17%,-27%,-25%,-11%,-10%
17-Oct-20,"40,700",66,770,"10,062","17,184",886,870,"6,430","4,305",127,"30,542",32,713,"6,869","13,083",680,730,"4,556","3,806",73,-23%,-52%,-7%,-32%,-24%,-23%,-16%,-29%,-12%,-43%
18-Oct-20,"41,134",73,827,"10,222","17,510",867,891,"6,348","4,293",103,"30,212",49,683,"6,817","13,001",679,694,"4,552","3,653",84,-24%,-33%,-17%,-33%,-26%,-22%,-22%,-28%,-15%,-18%
19-Oct-20,"39,083",61,756,"9,299","16,668",856,911,"6,092","4,355",85,"34,821",63,779,"8,084","15,022",725,752,"5,085","4,214",97,-10%,3%,3%,-13%,-10%,-15%,-17%,-17%,-3%,14%
20-Oct-20,"40,636",74,802,"9,427","17,677",882,962,"6,306","4,411",95,"32,724",64,783,"7,650","14,160",679,713,"4,745","3,835",95,-20%,-14%,-2%,-19%,-20%,-23%,-26%,-25%,-13%,0%
21-Oct-20,"44,567",63,890,"11,336","19,157",954,912,"6,599","4,533",123,"31,832",62,702,"7,248","13,950",663,679,"4,624","3,805",99,-26%,-2%,-21%,-36%,-27%,-31%,-26%,-30%,-16%,-20%
22-Oct-20,"42,310",63,857,"10,711","18,221",867,895,"6,188","4,392",116,"31,878",47,716,"7,676","13,739",693,640,"4,504","3,761",102,-23%,-25%,-16%,-28%,-25%,-20%,-28%,-27%,-14%,-12%
23-Oct-20,"41,438",75,796,"10,430","17,893",874,833,"6,067","4,338",132,"32,437",57,751,"7,669","14,327",676,661,"4,455","3,761",80,-20%,-24%,-6%,-26%,-20%,-23%,-21%,-27%,-13%,-39%
24-Oct-20,"41,667",56,831,"10,568","17,806",869,837,"6,109","4,502",89,"29,109",48,637,"6,641","12,706",608,678,"4,133","3,592",66,-28%,-14%,-23%,-37%,-29%,-30%,-19%,-32%,-20%,-26%
25-Oct-20,"40,919",67,802,"10,370","17,421",912,877,"6,154","4,205",111,"29,200",51,679,"6,534","12,548",664,654,"4,364","3,633",73,-26%,-24%,-15%,-37%,-28%,-27%,-25%,-29%,-14%,-34%
26-Oct-20,"38,512",72,767,"9,226","16,426",918,822,"5,839","4,337",105,"33,975",58,820,"7,880","14,763",656,717,"4,971","4,015",95,-11%,-19%,7%,-15%,-10%,-29%,-13%,-15%,-7%,-10%
27-Oct-20,"39,274",62,796,"9,178","16,947",858,860,"6,035","4,442",96,"31,509",59,719,"7,293","13,563",613,730,"4,864","3,566",102,-20%,-5%,-10%,-21%,-20%,-29%,-15%,-19%,-20%,6%
28-Oct-20,"44,821",69,891,"11,471","19,520",909,865,"6,240","4,731",125,"31,792",51,710,"7,160","13,967",598,685,"4,718","3,804",99,-26%,-26%,-20%,-38%,-28%,-34%,-21%,-24%,-20%,-21%
29-Oct-20,"41,653",71,819,"10,795","18,058",829,808,"6,000","4,157",116,"31,599",63,744,"7,271","13,629",627,667,"4,659","3,842",97,-21%,-11%,-9%,-33%,-25%,-24%,-17%,-22%,-8%,-16%
30-Oct-20,"40,519",66,804,"10,533","17,294",838,809,"5,833","4,215",127,"31,037",68,677,"7,217","13,214",580,758,"4,638","3,788",97,-21%,3%,-16%,-31%,-24%,-31%,-6%,-20%,-10%,-24%
31-Oct-20,"37,029",52,766,"9,471","15,762",776,765,"5,317","4,005",115,"27,655",46,617,"6,242","11,716",565,659,"4,278","3,463",69,-22%,-12%,-19%,-34%,-26%,-27%,-14%,-20%,-14%,-40%
01-Nov-20,"40,397",69,874,"9,854","17,088",904,899,"6,208","4,353",148,"30,436",58,725,"6,828","12,765",614,712,"4,763","3,895",76,-23%,-16%,-17%,-31%,-25%,-32%,-21%,-23%,-11%,-49%
02-Nov-20,"38,647",62,799,"9,225","16,291",857,915,"6,123","4,264",111,"34,265",57,837,"8,043","14,435",706,775,"5,229","4,106",77,-11%,-8%,5%,-13%,-11%,-18%,-15%,-15%,-4%,-31%
03-Nov-20,"40,990",77,864,"9,837","17,391",841,952,"6,283","4,640",105,"31,979",58,691,"7,190","13,961",634,739,"4,790","3,826",90,-20%,-25%,-20%,-27%,-20%,-25%,-22%,-24%,-18%,-14%
04-Nov-20,"44,741",62,926,"11,139","19,313",976,934,"6,508","4,772",111,"32,782",65,705,"7,447","14,362",623,697,"4,813","3,961",109,-25%,5%,-24%,-33%,-26%,-36%,-25%,-26%,-17%,-2%
05-Nov-20,"40,632",64,816,"10,042","17,510",874,901,"5,849","4,486",90,"33,069",55,737,"7,657","14,365",635,731,"4,715","4,071",103,-17%,-14%,-10%,-24%,-18%,-27%,-19%,-19%,-9%,14%
06-Nov-20,"40,149",65,861,"10,056","17,105",853,864,"5,847","4,372",126,"33,180",59,719,"7,802","14,676",579,737,"4,586","3,937",85,-16%,-9%,-16%,-22%,-14%,-32%,-15%,-22%,-10%,-33%
07-Nov-20,"39,526",64,779,"9,871","16,668",829,887,"5,930","4,390",108,"30,118",47,689,"6,935","13,355",572,672,"4,180","3,598",70,-22%,-27%,-12%,-30%,-20%,-31%,-24%,-30%,-18%,-35%
08-Nov-20,"40,603",52,766,"10,294","17,211",865,883,"6,012","4,416",104,"30,155",63,711,"6,881","13,533",561,564,"4,072","3,685",85,-23%,21%,-7%,-33%,-21%,-35%,-36%,-32%,-17%,-18%
09-Nov-20,"37,641",76,699,"9,135","15,818",832,882,"5,713","4,406",80,"35,789",57,776,"8,411","16,484",606,588,"4,847","3,920",100,-4%,-25%,11%,-8%,4%,-27%,-33%,-15%,-11%,25%
10-Nov-20,"39,743",72,825,"9,352","16,874",878,857,"6,022","4,787",76,"34,024",66,775,"8,206","15,311",573,705,"4,566","3,732",90,-15%,-8%,-6%,-12%,-9%,-35%,-18%,-24%,-22%,18%
11-Nov-20,"41,772",62,828,"10,797","17,215",850,912,"6,383","4,619",106,"32,532",51,734,"7,951","14,718",515,695,"4,305","3,489",74,-21%,-18%,-11%,-26%,-15%,-39%,-24%,-33%,-24%,-30%
12-Nov-20,"40,502",66,923,"9,574","16,603",859,904,"6,677","4,777",119,"32,152",60,743,"7,761","13,975",569,604,"4,659","3,686",95,-21%,-9%,-20%,-19%,-16%,-34%,-33%,-30%,-23%,-20%
13-Nov-20,"40,354",69,812,"10,053","16,800",828,849,"6,260","4,549",134,"31,949",58,704,"7,778","13,963",576,626,"4,544","3,607",93,-20%,-16%,-13%,-23%,-17%,-30%,-26%,-27%,-21%,-31%
14-Nov-20,"40,251",61,788,"10,111","16,709",876,844,"6,229","4,527",106,"28,319",58,673,"6,555","12,355",527,597,"4,149","3,317",88,-28%,-5%,-15%,-35%,-26%,-40%,-29%,-33%,-27%,-17%
15-Nov-20,"40,324",61,802,"9,994","16,829",858,798,"6,306","4,554",122,"28,287",51,635,"6,689","11,981",511,633,"4,224","3,496",67,-29%,-16%,-21%,-33%,-29%,-40%,-21%,-33%,-23%,-45%
16-Nov-20,"37,596",63,745,"8,771","15,702",839,886,"6,144","4,371",75,"33,217",64,744,"8,077","14,644",561,621,"4,593","3,807",106,-13%,2%,0%,-8%,-7%,-33%,-30%,-25%,-13%,41%
17-Nov-20,"39,176",62,737,"9,153","16,490",826,905,"6,328","4,596",79,"31,135",37,726,"7,508","13,629",512,590,"4,345","3,709",79,-21%,-40%,-1%,-18%,-17%,-38%,-35%,-31%,-19%,0%
18-Nov-20,"44,981",100,903,"11,536","18,816",920,938,"6,837","4,803",128,"30,466",52,678,"7,407","13,095",602,615,"4,314","3,611",92,-31%,-48%,-25%,-36%,-30%,-35%,-34%,-37%,-25%,-28%
19-Nov-20,"41,898",64,846,"10,752","17,632",881,818,"6,359","4,448",98,"30,795",43,674,"7,262","13,750",609,602,"4,172","3,586",97,-24%,-33%,-20%,-32%,-22%,-31%,-26%,-34%,-19%,-1%
20-Nov-20,"41,031",73,831,"10,424","17,317",879,860,"6,348","4,198",101,"31,073",61,653,"7,581","13,582",573,651,"4,309","3,592",71,-23%,-16%,-21%,-27%,-22%,-35%,-24%,-32%,-14%,-30%
21-Nov-20,"40,762",51,790,"10,185","17,189",877,878,"6,210","4,470",112,"28,066",52,616,"6,484","12,137",544,571,"4,066","3,512",84,-29%,2%,-22%,-36%,-29%,-38%,-35%,-35%,-21%,-25%
22-Nov-20,"40,804",48,786,"10,406","17,226",858,844,"6,324","4,190",122,"26,850",45,654,"6,335","11,410",518,561,"4,068","3,183",76,-33%,-6%,-17%,-39%,-34%,-40%,-34%,-36%,-24%,-38%
23-Nov-20,"38,144",61,706,"9,011","16,196",837,884,"6,196","4,159",94,"32,322",49,671,"7,764","14,141",598,640,"4,556","3,809",94,-16%,-20%,-5%,-14%,-13%,-29%,-28%,-26%,-8%,0%
24-Nov-20,"40,076",73,822,"9,568","17,159",846,906,"6,165","4,441",96,"30,802",54,623,"7,482","13,417",580,633,"4,340","3,583",90,-24%,-26%,-24%,-22%,-22%,-31%,-30%,-30%,-19%,-6%
25-Nov-20,"46,013",58,908,"11,806","19,776",929,968,"6,768","4,701",99,"30,569",44,641,"7,467","13,426",610,617,"4,292","3,390",82,-32%,-24%,-29%,-37%,-32%,-34%,-36%,-37%,-28%,-17%
26-Nov-20,"42,808",60,857,"10,831","18,217",861,950,"6,513","4,384",135,"30,258",56,619,"7,301","13,494",595,607,"4,124","3,390",72,-28%,-7%,-28%,-33%,-26%,-31%,-36%,-37%,-23%,-47%
27-Nov-20,"41,190",63,801,"10,771","17,415",830,910,"5,994","4,290",116,"30,819",60,632,"7,482","13,552",572,664,"4,280","3,500",77,-23%,-5%,-21%,-31%,-22%,-31%,-27%,-29%,-18%,-34%
28-Nov-20,"40,250",62,693,"10,387","17,057",872,883,"5,896","4,287",113,"28,255",43,615,"6,542","12,327",548,611,"4,095","3,413",61,-27%,-31%,-11%,-37%,-28%,-37%,-31%,-31%,-20%,-46%
29-Nov-20,"39,428",56,756,"10,187","16,592",883,908,"5,802","4,130",114,"28,358",53,622,"6,602","12,400",536,600,"4,065","3,410",70,-26%,-5%,-18%,-35%,-25%,-39%,-34%,-30%,-17%,-39%
30-Nov-20,"37,617",60,736,"8,994","16,014",832,898,"5,838","4,138",107,"32,881",61,696,"8,201","14,425",627,633,"4,532","3,622",84,-14%,2%,-5%,-9%,-10%,-25%,-30%,-22%,-12%,-21%
01-Dec-20,"37,300",65,786,"9,080","15,185",867,876,"6,141","4,215",85,"30,166",51,649,"7,748","12,766",553,600,"4,206","3,510",83,-21%,-22%,-17%,-15%,-16%,-36%,-32%,-32%,-17%,-2%
02-Dec-20,"44,028",65,836,"11,406","18,197","1,008",947,"6,753","4,716",100,"30,670",58,662,"7,477","13,435",598,649,"4,189","3,510",92,-29%,-11%,-21%,-34%,-26%,-41%,-31%,-38%,-26%,-8%
03-Dec-20,"42,167",64,807,"10,774","17,801",869,959,"6,351","4,457",85,"30,883",57,683,"7,334","13,833",570,620,"4,209","3,474",103,-25%,-11%,-15%,-32%,-22%,-34%,-35%,-34%,-22%,21%
04-Dec-20,"41,571",57,768,"10,596","17,383",918,887,"6,375","4,476",111,"30,836",50,705,"7,444","13,487",602,639,"4,293","3,512",104,-24%,-12%,-8%,-30%,-22%,-34%,-28%,-33%,-22%,-6%
05-Dec-20,"41,512",63,819,"10,483","17,728",886,864,"6,190","4,360",119,"28,147",48,602,"6,499","12,107",577,688,"4,124","3,416",86,-30%,-24%,-26%,-38%,-32%,-35%,-20%,-33%,-22%,-28%
06-Dec-20,"40,987",56,785,"10,388","17,041",921,842,"6,256","4,579",119,"27,774",42,585,"6,203","12,089",562,592,"4,225","3,388",88,-30%,-25%,-25%,-40%,-29%,-39%,-30%,-32%,-26%,-26%
07-Dec-20,"38,591",56,695,"9,177","16,271",877,908,"6,051","4,457",99,"32,301",58,701,"7,717","14,287",586,653,"4,542","3,672",85,-16%,4%,1%,-16%,-12%,-33%,-28%,-25%,-18%,-14%
08-Dec-20,"40,025",48,746,"9,469","17,142",853,827,"6,214","4,626",100,"30,400",41,654,"7,193","13,476",607,627,"4,309","3,429",64,-24%,-15%,-12%,-24%,-21%,-29%,-24%,-31%,-26%,-36%
09-Dec-20,"45,421",83,878,"11,552","19,459",922,866,"6,706","4,859",96,"30,429",57,673,"7,248","13,478",558,682,"4,116","3,536",81,-32%,-31%,-23%,-37%,-31%,-39%,-21%,-39%,-27%,-16%
10-Dec-20,"42,412",66,837,"10,897","17,738",843,830,"6,481","4,599",121,"30,034",46,632,"6,962","13,556",612,597,"4,132","3,423",74,-27%,-30%,-24%,-36%,-24%,-27%,-28%,-36%,-26%,-39%
11-Dec-20,"40,670",53,704,"10,495","16,974",839,804,"6,159","4,532",110,"30,316",53,624,"7,080","13,489",681,634,"4,151","3,528",76,-23%,0%,-11%,-33%,-21%,-19%,-21%,-33%,-22%,-31%
12-Dec-20,"40,399",55,724,"10,111","17,186",882,829,"6,112","4,402",98,"27,126",45,622,"6,108","11,608",604,655,"3,955","3,453",76,-31%,-18%,-14%,-40%,-32%,-32%,-21%,-35%,-22%,-22%
13-Dec-20,"41,455",61,758,"10,413","17,774",878,834,"6,077","4,561",99,"26,499",34,608,"5,848","11,792",584,609,"3,660","3,294",70,-33%,-44%,-20%,-44%,-34%,-33%,-27%,-40%,-28%,-29%
14-Dec-20,"38,989",52,684,"9,458","16,532",843,817,"6,206","4,318",79,"31,711",54,746,"7,295","14,349",602,623,"4,262","3,698",82,-17%,4%,9%,-23%,-13%,-29%,-24%,-31%,-14%,4%
15-Dec-20,"40,697",56,769,"9,435","17,505",863,883,"6,475","4,641",70,"29,217",39,669,"6,727","12,833",616,674,"4,124","3,455",80,-28%,-30%,-13%,-29%,-27%,-29%,-24%,-36%,-26%,14%
16-Dec-20,"45,946",59,815,"11,458","19,737",970,926,"7,052","4,797",132,"28,661",37,621,"6,279","12,588",636,642,"4,244","3,530",84,-35%,-37%,-24%,-45%,-36%,-34%,-31%,-40%,-26%,-36%
17-Dec-20,"43,494",68,810,"11,218","18,367",864,864,"6,577","4,619",107,"28,556",50,517,"6,293","12,501",572,640,"4,231","3,684",68,-31%,-26%,-36%,-44%,-32%,-34%,-26%,-36%,-20%,-36%
18-Dec-20,"41,362",69,738,"10,834","17,017",817,881,"6,459","4,454",93,"29,147",47,673,"6,469","12,859",599,609,"4,162","3,647",82,-26%,-32%,-9%,-40%,-24%,-27%,-31%,-36%,-18%,-12%
19-Dec-20,"40,423",70,799,"9,871","16,913",856,880,"6,484","4,440",110,"26,971",35,658,"5,951","11,648",573,634,"4,094","3,291",87,-31%,-50%,-18%,-40%,-31%,-33%,-28%,-37%,-26%,-21%
20-Dec-20,"41,507",64,772,"10,047","17,508",865,911,"6,670","4,554",116,"27,007",58,635,"5,801","11,783",551,686,"4,070","3,355",68,-33%,-9%,-18%,-42%,-33%,-36%,-25%,-39%,-26%,-41%
21-Dec-20,"41,346",59,763,"9,773","17,644",896,977,"6,661","4,476",97,"30,545",61,750,"6,753","13,679",645,660,"4,388","3,512",97,-25%,3%,-2%,-31%,-22%,-28%,-32%,-34%,-22%,0%
22-Dec-20,"43,905",58,775,"10,109","19,035",956,"1,040","6,971","4,870",91,"29,235",45,673,"6,741","12,929",554,635,"4,000","3,571",87,-33%,-22%,-13%,-33%,-32%,-42%,-39%,-43%,-27%,-4%
23-Dec-20,"46,914",75,858,"11,270","20,451",979,908,"7,214","5,033",126,"29,494",47,679,"6,726","12,976",559,683,"4,097","3,644",83,-36%,-37%,-21%,-40%,-37%,-43%,-25%,-43%,-28%,-34%
24-Dec-20,"39,873",41,666,"9,048","17,328",904,919,"6,385","4,495",87,"26,388",37,533,"5,707","11,437",551,555,"4,136","3,347",85,-33%,-10%,-20%,-37%,-34%,-39%,-40%,-35%,-26%,-2%
25-Dec-20,"38,321",54,593,"9,044","16,553",912,857,"5,828","4,406",74,"23,133",44,528,"5,615","9,382",513,621,"3,377","3,002",51,-40%,-19%,-11%,-38%,-43%,-44%,-28%,-42%,-32%,-31%
26-Dec-20,"48,184",66,867,"11,106","21,296","1,050","1,159","7,559","4,980",101,"30,115",66,720,"6,934","12,689",648,756,"4,544","3,678",80,-37%,0%,-17%,-38%,-40%,-38%,-35%,-40%,-26%,-21%
27-Dec-20,"49,815",63,880,"11,919","21,852","1,050","1,085","7,651","5,218",97,"29,919",53,684,"6,634","13,122",618,722,"4,311","3,686",89,-39%,-16%,-22%,-44%,-40%,-41%,-33%,-44%,-29%,-8%
28-Dec-20,"47,736",66,809,"11,395","20,654","1,021","1,009","7,526","5,153",103,"33,339",63,738,"7,877","14,392",623,743,"4,941","3,877",85,-30%,-5%,-9%,-31%,-30%,-39%,-26%,-34%,-25%,-17%
29-Dec-20,"47,093",57,827,"11,346","20,298",975,"1,057","7,251","5,174",108,"32,876",66,749,"7,560","14,516",630,646,"4,771","3,840",98,-29%,16%,-9%,-33%,-28%,-35%,-39%,-34%,-26%,-9%
30-Dec-20,"49,344",73,907,"12,248","20,848","1,028","1,058","7,715","5,348",119,"32,211",57,735,"7,582","14,021",638,707,"4,610","3,759",102,-34%,-22%,-19%,-38%,-33%,-38%,-33%,-40%,-30%,-14%
31-Dec-20,"42,819",70,671,"10,468","18,366",948,928,"6,704","4,565",99,"29,529",40,636,"6,747","12,699",638,633,"4,445","3,612",79,-30%,-43%,-5%,-36%,-31%,-33%,-32%,-34%,-21%,-20%
01-Jan-21,"43,537",55,791,"9,638","19,432",896,973,"6,597","5,038",117,"28,797",50,649,"6,425","12,156",627,732,"4,438","3,636",84,-34%,-9%,-18%,-33%,-37%,-30%,-25%,-33%,-28%,-28%
02-Jan-21,"47,479",82,949,"11,444","20,858",928,961,"7,054","5,078",125,"30,937",48,601,"6,952","13,415",664,781,"4,756","3,636",84,-33%,-41%,-37%,-39%,-36%,-28%,-19%,-33%,-28%,-33%
03-Jan-21,"46,674",73,937,"12,062","20,114",944,942,"6,696","4,794",112,"30,003",56,683,"6,787","12,821",688,710,"4,518","3,669",71,-33%,-23%,-27%,-44%,-36%,-27%,-25%,-33%,-23%,-37%
04-Jan-21,"45,614",77,905,"11,370","19,833",950,870,"6,671","4,833",105,"33,527",52,785,"7,851","14,583",716,751,"4,714","3,967",108,-25%,-32%,-13%,-31%,-26%,-25%,-14%,-29%,-18%,3%
05-Jan-21,"43,284",86,845,"10,297","18,946",897,896,"6,332","4,898",87,"30,975",72,704,"7,092","13,406",674,704,"4,442","3,780",101,-28%,-16%,-17%,-31%,-29%,-25%,-21%,-30%,-23%,16%
06-Jan-21,"42,406",66,851,"9,956","18,429",889,856,"6,393","4,896",70,"30,904",69,722,"7,002","13,321",651,690,"4,568","3,779",102,-26%,5%,-15%,-30%,-28%,-27%,-19%,-29%,-23%,46%
07-Jan-21,"44,197",78,902,"10,928","18,826",914,911,"6,536","4,985",117,"30,128",67,726,"6,776","12,994",661,731,"4,311","3,758",104,-30%,-14%,-20%,-38%,-31%,-28%,-20%,-34%,-25%,-11%
08-Jan-21,"41,324",68,833,"10,001","18,221",787,839,"5,942","4,532",101,"30,310",73,738,"6,991","12,880",639,679,"4,522","3,687",101,-26%,7%,-11%,-30%,-29%,-19%,-19%,-24%,-19%,0%
09-Jan-21,"40,698",66,711,"9,963","17,774",839,815,"5,990","4,460",80,"27,735",48,654,"6,149","11,748",618,658,"4,287","3,480",93,-30%,-27%,-8%,-38%,-34%,-26%,-19%,-28%,-22%,16%
10-Jan-21,"40,523",75,850,"9,931","17,319",812,850,"6,029","4,571",86,"27,143",47,642,"5,981","11,494",568,650,"4,220","3,468",73,-31%,-37%,-24%,-40%,-34%,-30%,-24%,-30%,-24%,-15%
11-Jan-21,"40,406",59,818,"9,790","17,253",827,819,"6,143","4,607",90,"30,681",58,756,"6,995","13,135",651,665,"4,551","3,764",106,-23%,-2%,-8%,-29%,-24%,-21%,-19%,-26%,-18%,18%
12-Jan-21,"38,073",66,732,"8,605","16,336",820,857,"6,121","4,466",70,"29,583",57,745,"6,507","12,606",693,634,"4,605","3,635",101,-22%,-14%,2%,-24%,-23%,-15%,-26%,-25%,-19%,44%
13-Jan-21,"39,307",66,837,"8,937","17,121",817,874,"5,976","4,590",89,"28,741",54,753,"6,352","12,347",597,665,"4,253","3,611",109,-26%,-18%,-10%,-29%,-28%,-27%,-24%,-29%,-21%,22%
14-Jan-21,"43,661",78,801,"10,632","18,863",897,847,"6,504","4,943",96,"28,800",54,708,"6,552","12,047",628,659,"4,391","3,663",98,-33%,-31%,-12%,-38%,-36%,-30%,-22%,-32%,-26%,2%
15-Jan-21,"40,567",68,845,"9,982","17,516",788,767,"6,027","4,462",112,"29,735",55,695,"6,711","12,471",643,688,"4,641","3,733",98,-25%,-19%,-18%,-33%,-29%,-18%,-10%,-23%,-16%,-13%
16-Jan-21,"39,704",68,875,"9,598","17,436",753,789,"5,762","4,306",117,"26,921",49,609,"5,750","11,437",616,666,"4,227","3,490",77,-30%,-28%,-30%,-40%,-34%,-18%,-16%,-27%,-19%,-34%
17-Jan-21,"38,805",61,774,"9,281","16,880",813,796,"5,687","4,409",104,"26,920",53,591,"5,853","11,255",596,694,"4,344","3,452",82,-29%,-13%,-24%,-37%,-33%,-27%,-13%,-24%,-22%,-21%
18-Jan-21,"39,287",59,803,"9,746","16,912",769,700,"5,733","4,450",115,"31,095",57,719,"7,262","13,054",709,704,"4,716","3,777",97,-19%,-3%,-10%,-25%,-23%,-8%,1%,-18%,-15%,-16%
19-Jan-21,"35,273",73,769,"8,229","14,401",794,769,"5,683","4,451",104,"29,458",55,730,"6,876","12,194",642,666,"4,504","3,693",98,-16%,-25%,-5%,-16%,-15%,-19%,-13%,-21%,-17%,-6%
20-Jan-21,"35,154",46,669,"7,069","15,074",868,762,"5,983","4,589",94,"29,352",74,681,"6,884","12,155",680,677,"4,472","3,650",79,-20%,61%,2%,-3%,-19%,-22%,-11%,-25%,-20%,-16%
21-Jan-21,"40,672",81,857,"9,638","17,071",837,841,"6,544","4,687",116,"29,667",60,721,"6,787","12,349",678,659,"4,531","3,793",89,-26%,-26%,-16%,-30%,-28%,-19%,-22%,-31%,-19%,-23%
22-Jan-21,"38,976",63,795,"9,692","16,289",897,765,"6,087","4,272",116,"29,881",64,654,"7,047","12,499",657,698,"4,490","3,690",82,-22%,2%,-18%,-27%,-23%,-27%,-9%,-26%,-14%,-29%
23-Jan-21,"38,739",84,824,"9,534","16,357",818,793,"5,868","4,368",93,"26,955",64,657,"5,979","11,144",632,627,"4,247","3,521",84,-28%,-24%,-20%,-37%,-32%,-23%,-21%,-28%,-19%,-10%
24-Jan-21,"40,515",65,802,"9,829","17,944",807,750,"5,826","4,384",108,"26,134",42,607,"5,803","10,994",621,631,"4,036","3,320",80,-34%,-35%,-24%,-41%,-39%,-23%,-16%,-31%,-24%,-26%
25-Jan-21,"41,481",78,793,"10,642","17,782",804,787,"6,077","4,402",116,"31,120",53,821,"7,190","13,196",614,677,"4,587","3,869",113,-22%,-32%,4%,-32%,-26%,-24%,-14%,-25%,-12%,-3%
26-Jan-21,"39,032",68,802,"9,300","16,636",744,818,"6,097","4,470",97,"28,823",52,743,"7,060","11,725",629,591,"4,186","3,743",94,-27%,-24%,-7%,-24%,-30%,-15%,-28%,-31%,-16%,-3%
27-Jan-21,"39,420",71,851,"9,267","16,893",762,827,"5,956","4,702",91,"29,354",53,725,"7,131","12,180",624,599,"4,300","3,657",85,-26%,-25%,-15%,-23%,-28%,-18%,-28%,-28%,-22%,-7%
28-Jan-21,"41,533",73,923,"10,710","16,660",859,807,"6,650","4,739",112,"28,858",54,737,"7,001","11,901",626,654,"4,245","3,555",85,-29%,-26%,-20%,-35%,-29%,-27%,-19%,-36%,-25%,-24%
29-Jan-21,"38,216",71,873,"9,620","15,432",719,741,"6,207","4,446",107,"29,507",53,682,"6,891","12,130",656,695,"4,512","3,779",109,-21%,-25%,-22%,-28%,-21%,-9%,-6%,-27%,-15%,2%
