x,y,ID,TOTAL_RAIN,SNOW_ON_GROUND,TOTAL_SNOW_FLAG,TOTAL_SNOW,MAX_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST_FLAG,CLIMATE_IDENTIFIER,COOLING_DEGREE_DAYS_FLAG,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,LOCAL_MONTH,PROVINCE_CODE,LOCAL_YEAR,STATION_NAME,SNOW_ON_GROUND_FLAG,MAX_TEMPERATURE_FLAG,MAX_TEMPERATURE,MEAN_TEMPERATURE,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,LOCAL_DATE,MIN_REL_HUMIDITY_FLAG,HEATING_DEGREE_DAYS,TOTAL_PRECIPITATION,LOCAL_DAY,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN_FLAG,SPEED_MAX_GUST,MIN_TEMPERATURE,MAX_REL_HUMIDITY,DIRECTION_MAX_GUST
-123.13780222222222,55.30528916666667,1184793.2020.11.28,,28,,,,,1184793,,,,76,11,BC,2020,MACKENZIE AIRPORT AUTO,,,-2.7,-9.1,,0,,2020-11-28 00:00:00,,27.1,0,28,,,33,-15.5,96,15
-123.13780222222222,55.30528916666667,1184793.2020.11.29,,27,,,,,1184793,,,,75,11,BC,2020,MACKENZIE AIRPORT AUTO,,,0.8,-1,,0,,2020-11-29 00:00:00,,19,0,29,,,38,-2.9,90,14
-123.13780222222222,55.30528916666667,1184793.2020.11.30,,26,,,,,1184793,,,,53,11,BC,2020,MACKENZIE AIRPORT AUTO,,,4.1,-0.6,,0,,2020-11-30 00:00:00,,18.6,0.9,30,,,50,-5.4,94,24
-123.13780222222222,55.30528916666667,1184793.2020.12.1,,25,,,,,1184793,,,,58,12,BC,2020,MACKENZIE AIRPORT AUTO,,,0.9,-3.3,,0,,2020-12-01 00:00:00,,21.3,0,1,,,46,-7.5,86,16
-123.13780222222222,55.30528916666667,1184793.2020.12.2,,25,,,,,1184793,,,,62,12,BC,2020,MACKENZIE AIRPORT AUTO,,,0.9,-3.5,,0,,2020-12-02 00:00:00,,21.5,0,2,,,,-7.9,96,
-123.13780222222222,55.30528916666667,1184793.2020.12.3,,24,,,,,1184793,,,,65,12,BC,2020,MACKENZIE AIRPORT AUTO,,,0.6,-4.3,,0,,2020-12-03 00:00:00,,22.3,0,3,,,,-9.3,95,
-123.13780222222222,55.30528916666667,1184793.2020.12.4,,24,,,,,1184793,,,,67,12,BC,2020,MACKENZIE AIRPORT AUTO,,,4.1,1.5,,0,,2020-12-04 00:00:00,,16.5,1.1,4,,,44,-1.1,93,16
-123.13780222222222,55.30528916666667,1184793.2020.12.5,,21,,,,,1184793,,,,73,12,BC,2020,MACKENZIE AIRPORT AUTO,,,3.5,2.1,,0,,2020-12-05 00:00:00,,15.9,1.5,5,,,,0.6,97,
-123.13780222222222,55.30528916666667,1184793.2020.12.6,,19,,,,,1184793,,,,60,12,BC,2020,MACKENZIE AIRPORT AUTO,,,4.2,2.9,,0,,2020-12-06 00:00:00,,15.1,3.5,6,,,40,1.6,97,15
-123.13780222222222,55.30528916666667,1184793.2020.12.7,,15,,,,,1184793,,,,48,12,BC,2020,MACKENZIE AIRPORT AUTO,,,7.7,4.3,,0,,2020-12-07 00:00:00,,13.7,6.2,7,,,62,0.8,97,22
-123.13780222222222,55.30528916666667,1184793.2020.12.8,,12,,,,,1184793,,,,89,12,BC,2020,MACKENZIE AIRPORT AUTO,,,1.9,0.9,,0,,2020-12-08 00:00:00,,17.1,0.9,8,,,,0,98,
-123.13780222222222,55.30528916666667,1184793.2020.12.9,,11,,,,,1184793,,,,85,12,BC,2020,MACKENZIE AIRPORT AUTO,,,0.2,-1.5,,0,,2020-12-09 00:00:00,,19.5,0,9,,,,-3.3,97,
-123.13780222222222,55.30528916666667,1184793.2020.12.10,,11,,,,,1184793,,,,81,12,BC,2020,MACKENZIE AIRPORT AUTO,,,-2.1,-3.7,,0,,2020-12-10 00:00:00,,21.7,0,10,,,,-5.4,95,
-123.13780222222222,55.30528916666667,1184793.2020.12.11,,11,,,,,1184793,,,,84,12,BC,2020,MACKENZIE AIRPORT AUTO,,,-3.5,-4.3,,0,,2020-12-11 00:00:00,,22.3,0,11,,,,-5.2,90,
-123.13780222222222,55.30528916666667,1184793.2020.12.12,,11,,,,,1184793,,,,49,12,BC,2020,MACKENZIE AIRPORT AUTO,,,-3.5,-9.5,,0,,2020-12-12 00:00:00,,27.5,0,12,,,,-15.6,94,
-123.13780222222222,55.30528916666667,1184793.2020.12.13,,11,,,,,1184793,,,,64,12,BC,2020,MACKENZIE AIRPORT AUTO,,,-10.5,-14.1,,0,,2020-12-13 00:00:00,,32.1,0,13,,,,-17.6,82,
-123.13780222222222,55.30528916666667,1184793.2020.12.14,,12,,,,,1184793,,,,77,12,BC,2020,MACKENZIE AIRPORT AUTO,,,-4.2,-7.5,,0,,2020-12-14 00:00:00,,25.5,1.7,14,,,,-10.8,93,
-123.13780222222222,55.30528916666667,1184793.2020.12.15,,13,,,,,1184793,,,,91,12,BC,2020,MACKENZIE AIRPORT AUTO,,,0.1,-2.5,,0,,2020-12-15 00:00:00,,20.5,3.9,15,,,,-5.1,96,
-123.13780222222222,55.30528916666667,1184793.2020.12.16,,16,,,,,1184793,,,,81,12,BC,2020,MACKENZIE AIRPORT AUTO,,,1.5,0.4,,0,,2020-12-16 00:00:00,,17.6,5.2,16,,,34,-0.8,97,14
-123.13780222222222,55.30528916666667,1184793.2020.12.17,,22,,,,M,1184793,,,,83,12,BC,2020,MACKENZIE AIRPORT AUTO,,,0.5,-5.1,M,0,,2020-12-17 00:00:00,,23.1,2.7,17,,,,-10.7,98,
-123.13780222222222,55.30528916666667,1184793.2020.12.18,,23,,,,M,1184793,,,,91,12,BC,2020,MACKENZIE AIRPORT AUTO,,,2,-3.5,M,0,,2020-12-18 00:00:00,,21.5,24.4,18,,,,-8.9,98,
-123.13780222222222,55.30528916666667,1184793.2020.12.19,,30,,,,,1184793,,,,63,12,BC,2020,MACKENZIE AIRPORT AUTO,,,3.4,1.1,,0,,2020-12-19 00:00:00,,16.9,11.1,19,,,37,-1.2,98,16
-123.13780222222222,55.30528916666667,1184793.2020.12.20,,40,,,,,1184793,,,,66,12,BC,2020,MACKENZIE AIRPORT AUTO,,,1.2,-1.7,,0,,2020-12-20 00:00:00,,19.7,2.2,20,,,37,-4.5,98,25
-123.13780222222222,55.30528916666667,1184793.2020.12.21,,40,,,,,1184793,,,,84,12,BC,2020,MACKENZIE AIRPORT AUTO,,,0.5,-2.5,,0,,2020-12-21 00:00:00,,20.5,0.7,21,,,,-5.4,97,
-123.13780222222222,55.30528916666667,1184793.2020.12.22,,39,,,,,1184793,,,,85,12,BC,2020,MACKENZIE AIRPORT AUTO,,,-4.1,-8.2,,0,,2020-12-22 00:00:00,,26.2,0,22,,,,-12.3,94,
-123.13780222222222,55.30528916666667,1184793.2020.12.23,,38,,,,,1184793,,,,79,12,BC,2020,MACKENZIE AIRPORT AUTO,,,-2.7,-6.1,,0,,2020-12-23 00:00:00,,24.1,0,23,,,33,-9.5,90,15
-123.13780222222222,55.30528916666667,1184793.2020.12.24,,37,,,,,1184793,,,,74,12,BC,2020,MACKENZIE AIRPORT AUTO,,,-1.5,-2.2,,0,,2020-12-24 00:00:00,,20.2,1.2,24,,,35,-2.9,93,16
-123.13780222222222,55.30528916666667,1184793.2020.12.25,,37,,,,,1184793,,,,86,12,BC,2020,MACKENZIE AIRPORT AUTO,,,-2.6,-4.3,,0,,2020-12-25 00:00:00,,22.3,1.1,25,,,,-6.1,95,
-123.13780222222222,55.30528916666667,1184793.2020.12.26,,38,,,,,1184793,,,,78,12,BC,2020,MACKENZIE AIRPORT AUTO,,,-1.9,-4,,0,,2020-12-26 00:00:00,,22,0,26,,,,-6.1,93,
-123.13780222222222,55.30528916666667,1184793.2020.12.27,,38,,,,,1184793,,,,83,12,BC,2020,MACKENZIE AIRPORT AUTO,,,-1.6,-2.9,,0,,2020-12-27 00:00:00,,20.9,1.3,27,,,,-4.2,95,
-123.13780222222222,55.30528916666667,1184793.2020.12.28,,38,,,,,1184793,,,,72,12,BC,2020,MACKENZIE AIRPORT AUTO,,,-2.5,-5.3,,0,,2020-12-28 00:00:00,,23.3,0,28,,,,-8.2,96,
-123.13780222222222,55.30528916666667,1184793.2020.12.29,,38,,,,,1184793,,,,84,12,BC,2020,MACKENZIE AIRPORT AUTO,,,-3.7,-5.2,,0,,2020-12-29 00:00:00,,23.2,0.1,29,,,,-6.7,91,
-123.13780222222222,55.30528916666667,1184793.2020.12.30,,37,,,,,1184793,,,,85,12,BC,2020,MACKENZIE AIRPORT AUTO,,,-4.5,-5.9,,0,,2020-12-30 00:00:00,,23.9,2.4,30,,,,-7.2,94,
-123.13780222222222,55.30528916666667,1184793.2020.12.31,,40,,,,,1184793,,,,89,12,BC,2020,MACKENZIE AIRPORT AUTO,,,-3.4,-4.7,,0,,2020-12-31 00:00:00,,22.7,0.4,31,,,,-6.1,95,
-123.13780222222222,55.30528916666667,1184793.2021.1.1,,41,,,,,1184793,,,,93,1,BC,2021,MACKENZIE AIRPORT AUTO,,,1.5,-1.2,,0,,2021-01-01 00:00:00,,19.2,37,1,,,,-3.8,99,
-123.13780222222222,55.30528916666667,1184793.2021.1.2,,61,,,,,1184793,,,,82,1,BC,2021,MACKENZIE AIRPORT AUTO,,,2.6,1.2,,0,,2021-01-02 00:00:00,,16.8,4,2,,,,-0.2,97,
-123.13780222222222,55.30528916666667,1184793.2021.1.3,,56,,,,,1184793,,,,67,1,BC,2021,MACKENZIE AIRPORT AUTO,,,1,-0.2,,0,,2021-01-03 00:00:00,,18.2,0,3,,,39,-1.4,81,15
-123.13780222222222,55.30528916666667,1184793.2021.1.4,,55,,,,,1184793,,,,74,1,BC,2021,MACKENZIE AIRPORT AUTO,,,-1.2,-5.6,,0,,2021-01-04 00:00:00,,23.6,5.3,4,,,,-10,96,
-123.13780222222222,55.30528916666667,1184793.2021.1.5,,59,,,,,1184793,,,,91,1,BC,2021,MACKENZIE AIRPORT AUTO,,,0.3,-2.9,,0,,2021-01-05 00:00:00,,20.9,11,5,,,35,-6.1,97,16
-123.13780222222222,55.30528916666667,1184793.2021.1.6,,68,,,,,1184793,,,,57,1,BC,2021,MACKENZIE AIRPORT AUTO,,,3.5,1.2,,0,,2021-01-06 00:00:00,,16.8,0.8,6,,,44,-1.2,98,17
-123.13780222222222,55.30528916666667,1184793.2021.1.7,,67,,,,,1184793,,,,67,1,BC,2021,MACKENZIE AIRPORT AUTO,,,0.3,-6,,0,,2021-01-07 00:00:00,,24,0,7,,,,-12.2,97,
-123.13780222222222,55.30528916666667,1184793.2021.1.8,,66,,,,,1184793,,,,87,1,BC,2021,MACKENZIE AIRPORT AUTO,,,-7.5,-11.1,,0,,2021-01-08 00:00:00,,29.1,0,8,,,,-14.7,93,
-123.13780222222222,55.30528916666667,1184793.2021.1.9,,64,,,,,1184793,,,,87,1,BC,2021,MACKENZIE AIRPORT AUTO,,,-5.6,-10,,0,,2021-01-09 00:00:00,,28,0,9,,,,-14.5,93,
-123.13780222222222,55.30528916666667,1184793.2021.1.10,,64,,,,,1184793,,,,85,1,BC,2021,MACKENZIE AIRPORT AUTO,,,0.5,-4,,0,,2021-01-10 00:00:00,,22,0.8,10,,,,-8.5,97,
-123.13780222222222,55.30528916666667,1184793.2021.1.11,,63,,,,,1184793,,,,52,1,BC,2021,MACKENZIE AIRPORT AUTO,,,4.3,1.5,,0,,2021-01-11 00:00:00,,16.5,2.4,11,,,38,-1.3,96,14
-123.13780222222222,55.30528916666667,1184793.2021.1.12,,60,,,,,1184793,,,,87,1,BC,2021,MACKENZIE AIRPORT AUTO,,,2.2,-2.1,,0,,2021-01-12 00:00:00,,20.1,5,12,,,,-6.4,98,
-123.13780222222222,55.30528916666667,1184793.2021.1.13,,64,,,,,1184793,,,,64,1,BC,2021,MACKENZIE AIRPORT AUTO,,,-0.5,-7.1,,0,,2021-01-13 00:00:00,,25.1,0,13,,,,-13.6,97,
-123.13780222222222,55.30528916666667,1184793.2021.1.14,,63,,,,,1184793,,,,72,1,BC,2021,MACKENZIE AIRPORT AUTO,,,-3.3,-7.3,,0,,2021-01-14 00:00:00,,25.3,0,14,,,,-11.2,94,
-123.13780222222222,55.30528916666667,1184793.2021.1.15,,61,,,,,1184793,,,,58,1,BC,2021,MACKENZIE AIRPORT AUTO,,,3.3,-1,,0,,2021-01-15 00:00:00,,19,0.7,15,,,40,-5.2,91,16
-123.13780222222222,55.30528916666667,1184793.2021.1.16,,62,,,,,1184793,,,,67,1,BC,2021,MACKENZIE AIRPORT AUTO,,,1,-2.2,,0,,2021-01-16 00:00:00,,20.2,6.7,16,,,,-5.3,98,
-123.13780222222222,55.30528916666667,1184793.2021.1.17,,71,,,,,1184793,,,,75,1,BC,2021,MACKENZIE AIRPORT AUTO,,,3,0.1,,0,,2021-01-17 00:00:00,,17.9,1.8,17,,,,-2.8,98,
-123.13780222222222,55.30528916666667,1184793.2021.1.18,,70,,,,,1184793,,,,77,1,BC,2021,MACKENZIE AIRPORT AUTO,,,0.1,-6.2,,0,,2021-01-18 00:00:00,,24.2,0.2,18,,,,-12.5,98,
-123.13780222222222,55.30528916666667,1184793.2021.1.19,,68,,,,,1184793,,,,52,1,BC,2021,MACKENZIE AIRPORT AUTO,,,3.6,-0.4,,0,,2021-01-19 00:00:00,,18.4,0.6,19,,,54,-4.4,94,16
-123.13780222222222,55.30528916666667,1184793.2021.1.20,,68,,,,,1184793,,,,59,1,BC,2021,MACKENZIE AIRPORT AUTO,,,-1.9,-7.2,,0,,2021-01-20 00:00:00,,25.2,0,20,,,,-12.5,95,
-123.13780222222222,55.30528916666667,1184793.2021.1.21,,67,,,,,1184793,,,,84,1,BC,2021,MACKENZIE AIRPORT AUTO,,,-8.5,-14.2,,0,,2021-01-21 00:00:00,,32.2,0,21,,,,-19.9,92,
-123.13780222222222,55.30528916666667,1184793.2021.1.22,,67,,,,,1184793,,,,76,1,BC,2021,MACKENZIE AIRPORT AUTO,,,-9.1,-9.8,,0,,2021-01-22 00:00:00,,27.8,0,22,,,,-10.4,90,
-123.13780222222222,55.30528916666667,1184793.2021.1.23,,66,,,,,1184793,,,,79,1,BC,2021,MACKENZIE AIRPORT AUTO,,,-10.2,-11.3,,0,,2021-01-23 00:00:00,,29.3,0,23,,,,-12.4,87,
-123.13780222222222,55.30528916666667,1184793.2021.1.24,,66,,,,,1184793,,,,78,1,BC,2021,MACKENZIE AIRPORT AUTO,,,-8.5,-10.2,,0,,2021-01-24 00:00:00,,28.2,1.6,24,,,,-11.9,88,
-123.13780222222222,55.30528916666667,1184793.2021.1.25,,70,,,,,1184793,,,,77,1,BC,2021,MACKENZIE AIRPORT AUTO,,,-7.9,-9.6,,0,,2021-01-25 00:00:00,,27.6,1.6,25,,,,-11.3,90,
-123.13780222222222,55.30528916666667,1184793.2021.1.26,,70,,,,,1184793,,,,62,1,BC,2021,MACKENZIE AIRPORT AUTO,,,-7,-9.7,,0,,2021-01-26 00:00:00,,27.7,0.1,26,,,,-12.4,91,
-123.13780222222222,55.30528916666667,1184793.2021.1.27,,70,,,,,1184793,,,,50,1,BC,2021,MACKENZIE AIRPORT AUTO,,,-12.2,-15.8,,0,,2021-01-27 00:00:00,,33.8,0.3,27,,,,-19.5,71,
-123.13780222222222,55.30528916666667,1184793.2021.1.28,,70,,,,,1184793,,,,54,1,BC,2021,MACKENZIE AIRPORT AUTO,,,-17.4,-21.4,,0,,2021-01-28 00:00:00,,39.4,0,28,,,,-25.4,83,
-123.13780222222222,55.30528916666667,1184793.2021.1.29,,69,,,,,1184793,,,,73,1,BC,2021,MACKENZIE AIRPORT AUTO,,,-16.2,-18.8,,0,,2021-01-29 00:00:00,,36.8,0.1,29,,,,-21.4,83,
-123.13780222222222,55.30528916666667,1184793.2021.1.30,,69,,,,,1184793,,,,60,1,BC,2021,MACKENZIE AIRPORT AUTO,,,-10.6,-14.4,,0,,2021-01-30 00:00:00,,32.4,2.4,30,,,,-18.2,87,
-123.13780222222222,55.30528916666667,1184793.2021.1.31,,73,,,,,1184793,,,,82,1,BC,2021,MACKENZIE AIRPORT AUTO,,,-7.7,-9.7,,0,,2021-01-31 00:00:00,,27.7,3.7,31,,,,-11.8,90,
-123.13780222222222,55.30528916666667,1184793.2021.2.1,,76,,,,,1184793,,,,67,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-4.2,-6.9,,0,,2021-02-01 00:00:00,,24.9,0,1,,,,-9.5,91,
-123.13780222222222,55.30528916666667,1184793.2021.2.2,,76,,,,,1184793,,,,54,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-9.4,-14.2,,0,,2021-02-02 00:00:00,,32.2,0.1,2,,,,-19,71,
-123.13780222222222,55.30528916666667,1184793.2021.2.3,,75,,,,,1184793,,,,69,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-11.3,-19.3,,0,,2021-02-03 00:00:00,,37.3,2.1,3,,,,-27.3,88,
-123.13780222222222,55.30528916666667,1184793.2021.2.4,,86,,,,,1184793,,,,84,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-8.3,-9.8,,0,,2021-02-04 00:00:00,,27.8,3.8,4,,,,-11.3,94,
-123.13780222222222,55.30528916666667,1184793.2021.2.5,,82,,,,,1184793,,,,76,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-8.4,-11.3,,0,,2021-02-05 00:00:00,,29.3,0,5,,,,-14.3,93,
-123.13780222222222,55.30528916666667,1184793.2021.2.6,,80,,,,,1184793,,,,47,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-14.2,-19.9,,0,,2021-02-06 00:00:00,,37.9,0,6,,,,-25.6,80,
-123.13780222222222,55.30528916666667,1184793.2021.2.7,,78,,,,,1184793,,,,58,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-18.8,-26.8,,0,,2021-02-07 00:00:00,,44.8,0,7,,,,-34.8,81,
-123.13780222222222,55.30528916666667,1184793.2021.2.8,,78,,,,,1184793,,,,35,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-21.5,-27,,0,,2021-02-08 00:00:00,,45,0,8,,,,-32.5,75,
-123.13780222222222,55.30528916666667,1184793.2021.2.9,,77,,,,,1184793,,,,40,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-23.2,-28,,0,,2021-02-09 00:00:00,,46,0,9,,,,-32.8,67,
-123.13780222222222,55.30528916666667,1184793.2021.2.10,,76,,,,,1184793,,,,49,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-22.8,-27.2,,0,,2021-02-10 00:00:00,,45.2,0,10,,,,-31.6,72,
-123.13780222222222,55.30528916666667,1184793.2021.2.11,,76,,,,,1184793,,,,43,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-19,-23.9,,0,,2021-02-11 00:00:00,,41.9,0,11,,,,-28.8,65,
-123.13780222222222,55.30528916666667,1184793.2021.2.12,,76,,,,,1184793,,,,49,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-13,-18.2,,0,,2021-02-12 00:00:00,,36.2,0,12,,,,-23.5,74,
-123.13780222222222,55.30528916666667,1184793.2021.2.13,,75,,,,,1184793,,,,47,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-9.7,-16.7,,0,,2021-02-13 00:00:00,,34.7,0,13,,,,-23.7,83,
-123.13780222222222,55.30528916666667,1184793.2021.2.14,,75,,,,,1184793,,,,53,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-9,-16.6,,0,,2021-02-14 00:00:00,,34.6,0.9,14,,,,-24.2,88,
-123.13780222222222,55.30528916666667,1184793.2021.2.15,,78,,,,,1184793,,,,77,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-8.2,-10.4,,0,,2021-02-15 00:00:00,,28.4,6.2,15,,,,-12.5,90,
-123.13780222222222,55.30528916666667,1184793.2021.2.16,,85,,,,,1184793,,,,69,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-7.8,-11.5,,0,,2021-02-16 00:00:00,,29.5,0.2,16,,,,-15.1,90,
-123.13780222222222,55.30528916666667,1184793.2021.2.17,,83,,,,,1184793,,,,59,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-7.2,-16.8,,0,,2021-02-17 00:00:00,,34.8,0,17,,,,-26.4,93,
-123.13780222222222,55.30528916666667,1184793.2021.2.18,,82,,,,,1184793,,,,84,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-5.5,-11.7,,0,,2021-02-18 00:00:00,,29.7,4.5,18,,,,-17.8,94,
-123.13780222222222,55.30528916666667,1184793.2021.2.19,,87,,,,,1184793,,,,68,2,BC,2021,MACKENZIE AIRPORT AUTO,,,0.3,-2.6,,0,,2021-02-19 00:00:00,,20.6,0.6,19,,,40,-5.5,95,16
-123.13780222222222,55.30528916666667,1184793.2021.2.20,,88,,,,,1184793,,,,53,2,BC,2021,MACKENZIE AIRPORT AUTO,,,0.6,-2.5,,0,,2021-02-20 00:00:00,,20.5,2.4,20,,,40,-5.6,93,16
-123.13780222222222,55.30528916666667,1184793.2021.2.21,,98,,,,,1184793,,,,58,2,BC,2021,MACKENZIE AIRPORT AUTO,,,6.2,2.5,,0,,2021-02-21 00:00:00,,15.5,2.6,21,,,51,-1.2,93,23
-123.13780222222222,55.30528916666667,1184793.2021.2.22,,92,,,,,1184793,,,,42,2,BC,2021,MACKENZIE AIRPORT AUTO,,,4.2,1.3,,0,,2021-02-22 00:00:00,,16.7,0,22,,,40,-1.6,73,16
-123.13780222222222,55.30528916666667,1184793.2021.2.23,,89,,,,,1184793,,,,38,2,BC,2021,MACKENZIE AIRPORT AUTO,,,2.7,-1.1,,0,,2021-02-23 00:00:00,,19.1,0,23,,,,-4.8,73,
-123.13780222222222,55.30528916666667,1184793.2021.2.24,,88,,,,,1184793,,,,50,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-1.4,-6.3,,0,,2021-02-24 00:00:00,,24.3,1.4,24,,,44,-11.3,94,16
-123.13780222222222,55.30528916666667,1184793.2021.2.25,,93,,,,,1184793,,,,82,2,BC,2021,MACKENZIE AIRPORT AUTO,,,1.1,-1.3,,0,,2021-02-25 00:00:00,,19.3,7.8,25,,,39,-3.6,97,16
-123.13780222222222,55.30528916666667,1184793.2021.2.26,,92,,,,,1184793,,,,63,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-0.9,-5.5,,0,,2021-02-26 00:00:00,,23.5,0.8,26,,,,-10,91,
-123.13780222222222,55.30528916666667,1184793.2021.2.27,,92,,,,,1184793,,,,72,2,BC,2021,MACKENZIE AIRPORT AUTO,,,-3.4,-11.5,,0,,2021-02-27 00:00:00,,29.5,4.9,27,,,,-19.6,94,
-123.13780222222222,55.30528916666667,1184793.2021.2.28,,104,,,,,1184793,,,,74,2,BC,2021,MACKENZIE AIRPORT AUTO,,,3.5,0,,0,,2021-02-28 00:00:00,,18,4.7,28,,,48,-3.4,95,16
-123.13780222222222,55.30528916666667,1184793.2021.3.1,,94,,,,,1184793,,,,39,3,BC,2021,MACKENZIE AIRPORT AUTO,,,4.7,1.8,,0,,2021-03-01 00:00:00,,16.2,0,1,,,,-1.2,88,
-123.13780222222222,55.30528916666667,1184793.2021.3.2,,90,,,,,1184793,,,,47,3,BC,2021,MACKENZIE AIRPORT AUTO,,,1.9,-0.2,,0,,2021-03-02 00:00:00,,18.2,0,2,,,38,-2.3,85,17
-123.13780222222222,55.30528916666667,1184793.2021.3.3,,89,,,,,1184793,,,,55,3,BC,2021,MACKENZIE AIRPORT AUTO,,,3.9,1.4,,0,,2021-03-03 00:00:00,,16.6,0.4,3,,,42,-1.1,92,16
-123.13780222222222,55.30528916666667,1184793.2021.3.4,,88,,,,,1184793,,,,37,3,BC,2021,MACKENZIE AIRPORT AUTO,,,9.6,2.9,,0,,2021-03-04 00:00:00,,15.1,0,4,,,,-3.8,91,
-123.13780222222222,55.30528916666667,1184793.2021.3.5,,85,,,,,1184793,,,,51,3,BC,2021,MACKENZIE AIRPORT AUTO,,,7.6,2.7,,0,,2021-03-05 00:00:00,,15.3,12.4,5,,,39,-2.2,98,20
